player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
287579,Sofyan Amrabat,#14,Defensive Midfield,Real Betis,Europa League,6,1,-,1,-,-,,,316'
261503,Álvaro Fidalgo,#15,Central Midfield,Real Betis,Europa League,3,-,-,-,-,-,,,157'
348795,Giovani Lo Celso,#20,Attacking Midfield,Real Betis,Europa League,6,1,-,-,-,-,,,321'
907559,Nelson Deossa,#18,Central Midfield,Real Betis,Europa League,9,-,-,1,-,-,,,441'
357885,Pablo Fornals,#8,Central Midfield,Real Betis,Europa League,11,-,2,1,-,-,,,689'
961087,Pablo García,#52,Right Winger,Real Betis,Europa League,6,-,-,1,-,-,,,143'
417913,Álvaro Valles,#1,Goalkeeper,Real Betis,Europa League,5,-,,-,-,-,2,3,450'
461617,Rodrigo Riquelme,#17,Left Winger,Real Betis,Europa League,8,1,-,-,-,-,,,291'
374139,Junior Firpo,#23,Left-Back,Real Betis,Europa League,3,-,-,2,-,-,,,123'
336869,Marc Roca,#21,Defensive Midfield,Real Betis,Europa League,8,-,2,2,-,-,,,510'
378139,Aitor Ruibal,#24,Right Winger,Real Betis,Europa League,10,1,1,2,-,-,,,584'
933908,Ángel Ortiz,#40,Right-Back,Real Betis,Europa League,6,-,-,-,-,-,,,484'
85288,Isco,#22,Attacking Midfield,Real Betis,Europa League,1,-,-,-,-,-,,,9'
246291,Diego Llorente,#3,Centre-Back,Real Betis,Europa League,7,-,-,1,1,-,,,627'
286415,Pau López,#25,Goalkeeper,Real Betis,Europa League,7,-,,2,-,-,11,1,630'
191217,Héctor Bellerín,#2,Right-Back,Real Betis,Europa League,2,-,-,-,-,-,,,167'
167721,Chimy Ávila,#9,Centre-Forward,Real Betis,Europa League,9,-,1,1,-,-,,,333'
86784,Ricardo Rodríguez,#12,Left-Back,Real Betis,Europa League,9,-,-,3,-,-,,,675'
127048,Cédric Bakambu,#11,Centre-Forward,Real Betis,Europa League,6,1,2,3,-,-,,,420'
99922,Marc Bartra,#5,Centre-Back,Real Betis,Europa League,5,-,-,1,-,-,,,361'
71271,Adrián San Miguel,#13,Goalkeeper,Real Betis,Europa League,-,-,,-,-,-,-,-,-
991268,Samu Aghehowa,#9,Centre-Forward,Porto,Europa League,7,3,-,-,-,-,,,467'
357153,Diogo Costa,#99,Goalkeeper,Porto,Europa League,12,-,,-,-,-,10,3,1.080'
957653,Rodrigo Mora,#86,Attacking Midfield,Porto,Europa League,9,3,1,2,-,-,,,435'
756990,Alan Varela,#22,Defensive Midfield,Porto,Europa League,9,-,-,1,-,-,,,366'
926993,Victor Froholdt,#8,Central Midfield,Porto,Europa League,12,1,1,1,-,-,,,720'
425918,Jakub Kiwior,#4,Centre-Back,Porto,Europa League,8,-,1,1,-,-,,,617'
699704,Gabri Veiga,#10,Attacking Midfield,Porto,Europa League,10,2,1,2,-,-,,,439'
634461,Borja Sainz,#17,Left Winger,Porto,Europa League,12,1,3,1,-,-,,,674'
1004725,William Gomes,#7,Right Winger,Porto,Europa League,11,4,-,2,-,-,,,626'
520662,Pepê,#11,Right Winger,Porto,Europa League,11,-,2,1,-,-,,,609'
1162012,Oskar Pietuszewski,#77,Left Winger,Porto,Europa League,,,,,,,,,
877139,Alberto Costa,#20,Right-Back,Porto,Europa League,11,-,-,3,-,-,,,666'
491693,Nehuén Pérez,#18,Centre-Back,Porto,Europa League,,,,,,,,,
935480,Martim Fernandes,#52,Right-Back,Porto,Europa League,9,-,1,1,-,-,,,395'
478365,Francisco Moura,#74,Left-Back,Porto,Europa League,7,1,-,1,-,-,,,444'
243028,Jan Bednarek,#5,Centre-Back,Porto,Europa League,12,-,-,2,-,1,,,908'
538874,Terem Moffi,#29,Centre-Forward,Porto,Europa League,7,2,-,1,-,-,,,400'
370791,Pablo Rosario,#13,Defensive Midfield,Porto,Europa League,12,-,-,2,-,-,,,1.012'
182893,Seko Fofana,#42,Central Midfield,Porto,Europa League,4,-,-,-,-,-,,,317'
1063292,Deniz Gül,#27,Centre-Forward,Porto,Europa League,10,1,1,-,-,-,,,392'
921533,Dominik Prpić,#21,Centre-Back,Porto,Europa League,2,-,-,2,-,-,,,180'
544784,Zaidu Sanusi,#12,Left-Back,Porto,Europa League,8,-,1,2,-,-,,,530'
324804,Yann Karamoh,#75,Left Winger,Porto,Europa League,,,,,,,,,
155396,Cláudio Ramos,#14,Goalkeeper,Porto,Europa League,-,-,,-,-,-,-,-,-
72522,Luuk de Jong,#26,Centre-Forward,Porto,Europa League,1,-,-,-,-,-,,,17'
198638,João Costa,#24,Goalkeeper,Porto,Europa League,-,-,,-,-,-,-,-,-
29241,Thiago Silva,#3,Centre-Back,Porto,Europa League,4,-,-,1,-,-,,,360'
606752,Rodrigo Zalazar,#10,Central Midfield,Braga,Europa League,8,2,1,1,-,1,,,544'
629773,Lukas Hornicek,#1,Goalkeeper,Braga,Europa League,12,-,,-,-,-,10,7,1.080'
707572,Pau Víctor,#18,Centre-Forward,Braga,Europa League,11,2,1,1,-,-,,,578'
1045972,Mario Dorgeles,#20,Right Midfield,Braga,Europa League,6,1,-,-,-,-,,,163'
261927,Ricardo Horta,#21,Left Winger,Braga,Europa League,12,4,5,-,-,-,,,986'
413118,Sikou Niakaté,#4,Centre-Back,Braga,Europa League,7,-,-,2,-,-,,,549'
631404,Gorby,#29,Central Midfield,Braga,Europa League,12,1,1,1,-,-,,,919'
1086636,Gabriel Moscardo,#17,Defensive Midfield,Braga,Europa League,8,-,-,3,-,-,,,225'
