player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
378293,Yangel Herrera,#12,Midfield,Real Sociedad,La Liga,13,-,1,1,-,-,,,548'
355628,Igor Zubeldia,#5,Defender,Real Sociedad,La Liga,23,-,1,8,-,-,,,1.902'
372246,Carlos Soler,#18,Midfield,Real Sociedad,La Liga,31,4,3,3,-,1,,,2.146'
907813,Pablo Marín,#15,Midfield,Real Sociedad,La Liga,32,-,1,2,-,-,,,1.382'
225122,Gonçalo Guedes,#11,Forward,Real Sociedad,La Liga,31,8,4,3,-,-,,,1.821'
1007378,Wesley,#22,Forward,Real Sociedad,La Liga,5,-,-,-,-,-,,,84'
517842,Aihen Muñoz,#3,Defender,Real Sociedad,La Liga,19,-,-,1,-,-,,,764'
238266,Duje Caleta-Car,#16,Defender,Real Sociedad,La Liga,27,1,-,6,-,1,,,2.150'
711382,Jon Karrikaburu,#19,Forward,Real Sociedad,La Liga,7,-,-,-,-,-,,,129'
229804,Aritz Elustondo,#6,Defender,Real Sociedad,La Liga,14,-,-,-,-,-,,,621'
280730,Álvaro Odriozola,#20,Defender,Real Sociedad,La Liga,5,1,-,-,-,-,,,202'
625657,Unai Marrero,#13,Goalkeeper,Real Sociedad,La Liga,,,,,,,,,
342229,Kylian Mbappé,#10,Forward,Real Madrid,La Liga,29,24,5,3,-,-,,,2.426'
371998,Vinicius Junior,#7,Forward,Real Madrid,La Liga,35,15,6,8,-,-,,,2.748'
581678,Jude Bellingham,#5,Midfield,Real Madrid,La Liga,26,5,4,2,-,-,,,1.757'
369081,Federico Valverde,#8,Midfield,Real Madrid,La Liga,32,5,8,3,-,1,,,2.657'
861410,Arda Güler,#15,Midfield,Real Madrid,La Liga,32,4,9,1,-,-,,,2.011'
413112,Aurélien Tchouaméni,#14,Midfield,Real Madrid,La Liga,32,1,-,8,-,-,,,2.553'
890290,Dean Huijsen,#24,Defender,Real Madrid,La Liga,26,2,2,7,-,1,,,1.927'
314353,Trent Alexander-Arnold,#12,Defender,Real Madrid,La Liga,20,-,4,4,-,-,,,1.151'
811778,Álvaro Carreras,#18,Defender,Real Madrid,La Liga,27,2,2,5,-,1,,,2.244'
640428,Eduardo Camavinga,#6,Midfield,Real Madrid,La Liga,28,1,-,2,-,-,,,1.506'
412363,Rodrygo,#11,Forward,Real Madrid,La Liga,19,1,4,3,-,-,,,676'
1057316,Franco Mastantuono,#30,Forward,Real Madrid,La Liga,21,1,-,5,-,1,,,943'
314678,Brahim Díaz,#21,Forward,Real Madrid,La Liga,28,-,8,2,-,-,,,1.159'
935230,Gonzalo García,#16,Forward,Real Madrid,La Liga,28,5,1,2,-,-,,,865'
401530,Éder Militão,#3,Defender,Real Madrid,La Liga,16,2,1,2,-,-,,,1.142'
935245,Raúl Asencio,#17,Defender,Real Madrid,La Liga,22,2,-,4,-,-,,,1.618'
1375227,Thiago Pitarch,#45,Midfield,Real Madrid,La Liga,8,-,-,1,-,-,,,437'
108390,Thibaut Courtois,#1,Goalkeeper,Real Madrid,La Liga,30,-,,1,-,-,26,12,2.700'
404839,Andriy Lunin,#13,Goalkeeper,Real Madrid,La Liga,6,-,,-,-,-,7,1,540'
341264,Fran García,#20,Defender,Real Madrid,La Liga,12,1,1,-,1,-,,,840'
86202,Antonio Rüdiger,#22,Defender,Real Madrid,La Liga,17,1,-,-,-,-,,,1.401'
319745,Dani Ceballos,#19,Midfield,Real Madrid,La Liga,15,-,-,1,-,-,,,466'
1186235,Jorge Cestero,#28,Midfield,Real Madrid,La Liga,2,-,-,-,-,-,,,12'
291417,Ferland Mendy,#23,Defender,Real Madrid,La Liga,5,-,-,-,-,-,,,206'
138927,Daniel Carvajal,#2,Defender,Real Madrid,La Liga,15,-,-,-,-,-,,,802'
948272,César Palacios,#38,Midfield,Real Madrid,La Liga,5,-,-,-,-,-,,,81'
646824,Manuel Ángel,#37,Midfield,Real Madrid,La Liga,4,-,-,-,-,-,,,95'
59016,David Alaba,#4,Defender,Real Madrid,La Liga,10,-,-,1,-,-,,,351'
1055220,Fran González,#26,Goalkeeper,Real Madrid,La Liga,,,,,,,,,
1301775,Jan Virgili,#17,Forward,RCD Mallorca,La Liga,29,2,6,-,-,1,,,1.738'
657430,Samú Costa,#12,Midfield,RCD Mallorca,La Liga,32,7,2,10,-,-,,,2.555'
562742,Leo Román,#1,Goalkeeper,RCD Mallorca,La Liga,31,-,,4,-,-,48,3,2.790'
720038,Pablo Torre,#20,Midfield,RCD Mallorca,La Liga,33,3,4,4,-,-,,,1.457'
251876,Pablo Maffeo,#23,Defender,RCD Mallorca,La Liga,29,1,1,10,-,-,,,2.492'
256267,Vedat Muriqi,#7,Forward,RCD Mallorca,La Liga,35,22,1,4,-,1,,,2.957'
277384,Martin Valjent,#24,Defender,RCD Mallorca,La Liga,35,-,-,6,-,-,,,3.150'
371371,Marash Kumbulla,#4,Defender,RCD Mallorca,La Liga,8,-,-,1,-,-,,,438'
142021,Sergi Darder,#10,Midfield,RCD Mallorca,La Liga,36,1,5,3,-,-,,,2.509'
834742,Mateo Joseph,#18,Forward,RCD Mallorca,La Liga,29,2,4,2,-,-,,,1.704'
666547,Zito Luvumbo,#15,Forward,RCD Mallorca,La Liga,9,-,2,2,-,-,,,440'
335225,Manu Morlanes,#8,Midfield,RCD Mallorca,La Liga,30,2,-,2,1,-,,,1.606'
513031,Antonio Sánchez,#6,Midfield,RCD Mallorca,La Liga,29,-,-,3,1,-,,,1.033'
262939,Johan Mojica,#22,Defender,RCD Mallorca,La Liga,34,-,4,6,-,-,,,2.641'
245744,Takuma Asano,#11,Forward,RCD Mallorca,La Liga,18,1,-,2,-,-,,,577'
320271,Toni Lato,#3,Defender,RCD Mallorca,La Liga,11,-,1,3,-,-,,,500'
388513,Mateu Morey,#2,Defender,RCD Mallorca,La Liga,18,1,-,2,-,-,,,700'
490606,Lucas Bergström,#13,Goalkeeper,RCD Mallorca,La Liga,5,-,,1,-,-,7,2,450'
278296,Antonio Raíllo,#21,Defender,RCD Mallorca,La Liga,23,-,1,4,-,-,,,2.033'
947431,David López,#27,Defender,RCD Mallorca,La Liga,13,-,-,2,-,-,,,788'
177452,Abdón Prats,#9,Forward,RCD Mallorca,La Liga,13,-,-,-,-,-,,,115'
