id,name,shirtNumber,positionId,position,club,link
58864,Pierre-Emerick Aubameyang,17,4,Forward,Olympique Marseille,/pierre-emerick-aubameyang/profil/spieler/58864
315253,Jeffrey de Lange,12,1,Goalkeeper,Olympique Marseille,/jeffrey-de-lange/profil/spieler/315253
920470,Tochukwu Nnadi,6,3,Midfield,Olympique Marseille,/tochukwu-nnadi/profil/spieler/920470
620912,Théo Vermot,92,1,Goalkeeper,Olympique Marseille,/theo-vermot/profil/spieler/620912
727086,Jelle Van Neck,40,1,Goalkeeper,Olympique Marseille,/jelle-van-neck/profil/spieler/727086
745200,Maghnes Akliouche,11,4,Forward,AS Monaco,/maghnes-akliouche/profil/spieler/745200
918969,Lamine Camara,15,3,Midfield,AS Monaco,/lamine-camara/profil/spieler/918969
503770,Folarin Balogun,9,4,Forward,AS Monaco,/folarin-balogun/profil/spieler/503770
658536,Simon Adingra,24,4,Forward,AS Monaco,/simon-adingra/profil/spieler/658536
334526,Denis Zakaria,6,3,Midfield,AS Monaco,/denis-zakaria/profil/spieler/334526
789082,Vanderson,2,2,Defender,AS Monaco,/vanderson/profil/spieler/789082
263918,Aleksandr Golovin,10,3,Midfield,AS Monaco,/aleksandr-golovin/profil/spieler/263918
565821,Mika Biereth,14,4,Forward,AS Monaco,/mika-biereth/profil/spieler/565821
1005240,Christian Mawissa,13,2,Defender,AS Monaco,/christian-mawissa/profil/spieler/1005240
745173,Mamadou Coulibaly,28,3,Midfield,AS Monaco,/mamadou-coulibaly/profil/spieler/745173
466810,Ansu Fati,31,4,Forward,AS Monaco,/ansu-fati/profil/spieler/466810
420064,Caio Henrique,12,2,Defender,AS Monaco,/caio-henrique/profil/spieler/420064
364245,Jordan Teze,4,2,Defender,AS Monaco,/jordan-teze/profil/spieler/364245
228948,Thilo Kehrer,5,2,Defender,AS Monaco,/thilo-kehrer/profil/spieler/228948
165793,Takumi Minamino,18,4,Forward,AS Monaco,/takumi-minamino/profil/spieler/165793
947360,Kassoum Ouattara,20,2,Defender,AS Monaco,/kassoum-ouattara/profil/spieler/947360
563963,Mohammed Salisu,22,2,Defender,AS Monaco,/mohammed-salisu/profil/spieler/563963
292808,Wout Faes,25,2,Defender,AS Monaco,/wout-faes/profil/spieler/292808
975347,Aladji Bamba,23,3,Midfield,AS Monaco,/aladji-bamba/profil/spieler/975347
490426,Krépin Diatta,27,3,Midfield,AS Monaco,/krepin-diatta/profil/spieler/490426
743387,Stanis Idumbo,17,3,Midfield,AS Monaco,/stanis-idumbo/profil/spieler/743387
175722,Eric Dier,3,2,Defender,AS Monaco,/eric-dier/profil/spieler/175722
251322,Philipp Köhn,16,1,Goalkeeper,AS Monaco,/philipp-kohn/profil/spieler/251322
122153,Paul Pogba,8,3,Midfield,AS Monaco,/paul-pogba/profil/spieler/122153
48015,Lukas Hradecky,1,1,Goalkeeper,AS Monaco,/lukas-hradecky/profil/spieler/48015
918414,Paris Brunner,29,4,Forward,AS Monaco,/paris-brunner/profil/spieler/918414
