player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Colin Dagba,#17,Right-Back,Paris SG,Ligue 1,1,-,-,-,-,-,,,72'
Sergio Ramos,#4,Centre-Back,Paris SG,,,,,,,,,,
Sergio Rico,#16,Goalkeeper,Paris SG,Ligue 1,-,-,,-,-,-,-,-,-
Junior Dina Ebimbe,#28,Central Midfield,Paris SG,Ligue 1,4,-,-,1,-,-,,,92'
Bandiougou Fadiga,,Attacking Midfield,Paris SG B,,,,,,,,,,
Xavi Simons,,Central Midfield,Paris SG U19,UEFA Youth League,3,2,1,1,-,-,,,270'
Caio Henrique,#12,Left-Back,Monaco,Ligue 1,10,-,4,-,-,-,,,799'
El Chadaille Bitshiabu,,Centre-Back,Paris SG U19,UEFA Youth League,2,1,-,-,-,-,,,180'
Kévin N'Doram,#6,Defensive Midfield,FC Metz,Ligue 1,4,-,-,1,-,-,,,290'
Bamba Dieng,#12,Centre-Forward,Marseille,Ligue 1,8,3,1,-,-,-,,,370'
Ugo Bertelli,,Central Midfield,Marseille B,National 2 - Grp. C,8,1,-,2,-,-,,,714'
Oussama Targhalline,#26,"Jun 30, 2023",Marseille,National 2 - Grp. C,1,-,-,1,-,-,,,90'
Simon Ngapandouetnbu,#1,Goalkeeper,Marseille,National 2 - Grp. C,3,-,,-,-,-,5,-,270'
Paolo Sciortino,#34,Defensive Midfield,Marseille,National 2 - Grp. C,7,-,-,-,-,-,,,603'
Bilal Nadir,#39,Central Midfield,Marseille,National 2 - Grp. C,3,-,-,-,-,-,,,270'
Alexandre Letellier,#60,Goalkeeper,Paris SG,Champions League,-,-,,-,-,-,-,-,-
Matis Carvalho,#30,Goalkeeper,Montpellier,National 2 - Grp. D,4,-,,-,-,-,4,1,360'
Eliot Matazo,#36,Central Midfield,Monaco,Ligue 1,6,-,-,-,-,-,,,362'
Béni Makouana,#28,Centre-Forward,Montpellier,Ligue 1,6,-,-,2,-,-,,,60'
Yanis Guermouche,#20,Centre-Forward,Montpellier,National 2 - Grp. D,3,-,1,-,-,-,,,248'
Maxime Estève,#14,Centre-Back,Montpellier,Ligue 1,10,-,-,1,-,-,,,694'
Ludovic Ajorque,#25,Centre-Forward,R. Strasbourg,Ligue 1,11,4,5,2,-,-,,,885'
Habib Diallo,#20,Centre-Forward,R. Strasbourg,Ligue 1,11,4,-,2,-,-,,,459'
Matz Sels,#1,Goalkeeper,R. Strasbourg,Ligue 1,11,-,,-,-,-,16,2,990'
Adrien Thomasson,#10,Attacking Midfield,R. Strasbourg,Ligue 1,9,2,1,-,-,1,,,593'
Frédéric Guilbert,#2,Right-Back,R. Strasbourg,Ligue 1,7,-,1,1,-,-,,,532'
Ibrahima Sissoko,#27,Defensive Midfield,R. Strasbourg,Ligue 1,8,1,2,-,-,-,,,556'
Salim Ben Seghir,#32,Left Winger,Marseille,National 2 - Grp. C,6,3,-,1,-,-,,,540'
Jean-Ricner Bellegarde,#17,Left Midfield,R. Strasbourg,Ligue 1,10,-,-,1,-,-,,,806'
Anthony Caci,#19,Left-Back,R. Strasbourg,Ligue 1,11,-,1,2,-,-,,,792'
Jean-Eudes Aholou,#6,Defensive Midfield,R. Strasbourg,Ligue 1,9,-,-,-,-,-,,,382'
Lucas Gourna-Douath,#6,Defensive Midfield,Saint-Étienne,Ligue 1,7,-,-,2,-,-,,,336'
Adil Aouchiche,#17,Attacking Midfield,Saint-Étienne,Ligue 1,11,-,1,1,-,-,,,251'
Denis Bouanga,#20,Left Winger,Saint-Étienne,Ligue 1,11,2,-,2,-,-,,,796'
Harold Moukoudi,#2,Centre-Back,Saint-Étienne,Ligue 1,11,-,-,1,-,-,,,945'
Arnaud Nordin,#18,Left Winger,Saint-Étienne,Ligue 1,11,-,1,1,-,-,,,451'
Yvan Neyou,#19,Defensive Midfield,Saint-Étienne,Ligue 1,10,-,-,1,-,-,,,811'
Zaydou Youssouf,#28,Central Midfield,Saint-Étienne,Ligue 1,8,-,-,1,-,1,,,426'
Edouard Michut,,Attacking Midfield,Paris SG U19,UEFA Youth League,3,-,-,-,-,-,,,195'
Mahdi Camara,#8,Central Midfield,Saint-Étienne,Ligue 1,11,-,-,2,-,-,,,940'
Timothée Kolodziejczak,#5,Centre-Back,Saint-Étienne,Ligue 1,9,1,1,2,-,-,,,776'
Ander Herrera,#21,Central Midfield,Paris SG,Ligue 1,10,3,2,-,-,-,,,671'
Predrag Rajkovic,#1,Goalkeeper,Stade Reims,Ligue 1,11,-,,-,-,-,14,3,990'
Nathanaël Mbuku,#11,Left Winger,Stade Reims,Ligue 1,10,-,-,-,-,-,,,416'
Alexander Djiku,#24,Centre-Back,R. Strasbourg,Ligue 1,9,-,-,4,1,-,,,769'
Wout Faes,#2,Centre-Back,Stade Reims,Ligue 1,11,1,-,-,-,-,,,990'
Mathieu Cafaro,#24,Attacking Midfield,Stade Reims,Ligue 1,3,-,-,2,-,-,,,160'
Thomas Foket,#32,Right-Back,Stade Reims,Ligue 1,9,1,-,2,-,-,,,745'
