id,name,shirtNumber,positionId,link
281552,Georgi Melkadze,21,4,/georgi-melkadze/profil/spieler/281552
369267,Maximiliano Caufriez,3,2,/maximiliano-caufriez/profil/spieler/369267
395654,Ilya Gaponov,56,2,/ilya-gaponov/profil/spieler/395654
379181,Kirill Zaika,27,2,/kirill-zaika/profil/spieler/379181
510782,Rodrigão,5,2,/rodrigao/profil/spieler/510782
59209,Soslan Dzhanaev,35,1,/soslan-dzhanaev/profil/spieler/59209
38340,Ivelin Popov,8,3,/ivelin-popov/profil/spieler/38340
45858,Christian Noboa,16,3,/christian-noboa/profil/spieler/45858
370287,Dmitri Vorobyev,7,4,/dmitri-vorobyev/profil/spieler/370287
49676,Nikita Burmistrov,18,4,/nikita-burmistrov/profil/spieler/49676
55439,Nikolay Zabolotnyi,12,1,/nikolay-zabolotnyi/profil/spieler/55439
126341,Maksim Barsov,10,4,/maksim-barsov/profil/spieler/126341
231724,Igor Yurganov,20,2,/igor-yurganov/profil/spieler/231724
104700,Ilya Kukharchuk,44,4,/ilya-kukharchuk/profil/spieler/104700
469688,Dusan Stojinovic,33,2,/dusan-stojinovic/profil/spieler/469688
322077,Besard Sabovic,14,3,/besard-sabovic/profil/spieler/322077
279152,Maksim Karpov,2,2,/maksim-karpov/profil/spieler/279152
555172,Artem Sokolov,18,3,/artem-sokolov/profil/spieler/555172
515506,Aleksandr Dolgov,10,4,/aleksandr-dolgov/profil/spieler/515506
449345,David Davidyan,27,4,/david-davidyan/profil/spieler/449345
104503,Egor Generalov,1,1,/egor-generalov/profil/spieler/104503
282364,Ilya Kamyshev,21,3,/ilya-kamyshev/profil/spieler/282364
513257,Vitali Sychev,35,1,/vitali-sychev/profil/spieler/513257
362572,Dmitri Rybchinskiy,94,3,/dmitri-rybchinskiy/profil/spieler/362572
433181,Tino Anjorin,10,3,/tino-anjorin/profil/spieler/433181
458710,Murilo Cerqueira,27,2,/murilo-cerqueira/profil/spieler/458710
461701,Nair Tiknizyan,71,2,/nair-tiknizyan/profil/spieler/461701
462329,Stanislav Magkeev,4,3,/stanislav-magkeev/profil/spieler/462329
59597,Maciej Rybus,31,2,/maciej-rybus/profil/spieler/59597
178335,Dmitri Zhivoglyadov,2,2,/dmitri-zhivoglyadov/profil/spieler/178335
539065,Alexis Beka Beka,8,3,/alexis-beka-beka/profil/spieler/539065
382535,Maksim Nenakhov,24,2,/maksim-nenakhov/profil/spieler/382535
318426,Ivan Ignatjev,19,4,/ivan-ignatjev/profil/spieler/318426
365394,In-beom Hwang,6,3,/in-beom-hwang/profil/spieler/365394
263963,Aleksandr Zuev,23,4,/aleksandr-zuev/profil/spieler/263963
416704,Soltmurad Bakaev,7,4,/soltmurad-bakaev/profil/spieler/416704
51897,Vladislav Ignatjev,20,2,/vladislav-ignatjev/profil/spieler/51897
353878,Mitsuki Saito,16,3,/mitsuki-saito/profil/spieler/353878
496706,Montassar Talbi,3,2,/montassar-talbi/profil/spieler/496706
113235,Georgi Zotov,31,2,/georgi-zotov/profil/spieler/113235
275159,Mikhail Kostyukov,14,4,/mikhail-kostyukov/profil/spieler/275159
168527,Igor Leshchuk,31,1,/igor-leshchuk/profil/spieler/168527
121958,Zaurbek Pliev,3,2,/zaurbek-pliev/profil/spieler/121958
