player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Ivan Miladinovic,#15,Centre-Back,Nizhny Novgorod,Premier Liga,2,-,-,-,-,-,,,143'
Aleksandr Silyanov,#45,Right-Back,Loko Moscow,Premier Liga,5,-,-,-,-,-,,,345'
Kirill Gotsuk,#24,Centre-Back,Nizhny Novgorod,Premier Liga,10,1,2,3,-,-,,,883'
Petrus Boumal,#13,Defensive Midfield,Nizhny Novgorod,Premier Liga,2,-,-,-,-,-,,,114'
Aleksandr Sapeta,#41,Central Midfield,Nizhny Novgorod,Premier Liga,4,-,-,1,-,-,,,189'
Ákos Kecskés,#4,Centre-Back,Nizhny Novgorod,Premier Liga,7,1,-,-,-,-,,,630'
Filip Mrzljak,#24,Defensive Midfield,Ufa,Premier Liga,9,-,4,3,-,-,,,725'
Nikolay Kalinskiy,#78,Defensive Midfield,Nizhny Novgorod,Premier Liga,10,3,1,2,-,-,,,900'
Artur Nigmatullin,#25,Goalkeeper,Nizhny Novgorod,Premier Liga,10,-,,2,-,-,13,2,900'
Artur Anisimov,#1,Goalkeeper,Nizhny Novgorod,Russian Cup,1,-,,-,-,-,-,1,45'
Pavel Mogilevets,#18,Central Midfield,Nizhny Novgorod,Premier Liga,3,-,-,-,-,-,,,166'
Azer Aliev,#7,Right Midfield,Ufa,Premier Liga,6,-,-,-,-,-,,,268'
Leon Musaev,#38,Defensive Midfield,Rubin Kazan,Premier Liga,4,-,-,-,-,-,,,62'
Konstantin Pliev,#3,Centre-Back,Ufa,Premier Liga,10,-,1,1,-,-,,,900'
Oleg Ivanov,#19,Attacking Midfield,Ufa,Premier Liga,8,2,-,2,-,-,,,639'
Yuri Zhuravlev,#44,Centre-Back,Ufa,Premier Liga,7,-,-,1,-,1,,,624'
Aleksandr Saplinov,#25,Attacking Midfield,Ufa,Premier Liga,5,-,-,1,-,-,,,194'
Nemanja Miletic,#11,Left-Back,Ufa,Premier Liga,6,-,-,1,-,-,,,296'
Aleksey Kuznetsov,#1,Goalkeeper,Ufa,U19 M-Liga,2,-,,-,-,-,4,-,180'
Ruslan Fishchenko,#6,Defensive Midfield,Ufa,Premier Liga,8,-,-,1,1,-,,,268'
Lucas Masoero,#5,Centre-Back,Nizhny Novgorod,Premier Liga,9,-,1,2,1,-,,,742'
Egas Cacintura,#23,Right Midfield,Ufa,Premier Liga,10,-,1,3,-,-,,,593'
Egor Shamov,#50,Goalkeeper,Arsenal Tula,Premier Liga,2,-,,-,-,-,6,-,180'
Bojan Jokic,#5,Left-Back,Ufa,Premier Liga,10,-,1,-,-,-,,,869'
Ayaz Guliev,#9,Central Midfield,Arsenal Tula,Premier Liga,4,-,-,1,-,-,,,232'
Taras Burlak,#5,Centre-Back,Arsenal Tula,Premier Liga,2,-,-,1,-,-,,,163'
Kirill Panchenko,#8,Second Striker,Arsenal Tula,Premier Liga,6,-,1,1,-,-,,,145'
Evgeniy Markov,#7,Centre-Forward,Arsenal Tula,Premier Liga,9,2,1,3,-,-,,,485'
Uros Radakovic,#4,Centre-Back,Arsenal Tula,Premier Liga,4,-,1,1,-,-,,,315'
Vladislav Panteleev,#21,Attacking Midfield,Arsenal Tula,Premier Liga,4,-,1,-,-,-,,,192'
Evgeniy Lutsenko,#48,Centre-Forward,Arsenal Tula,Premier Liga,6,2,-,-,-,-,,,361'
Igor Gorbatenko,#23,Attacking Midfield,Arsenal Tula,,,,,,,,,,
Marat Bystrov,#96,Right-Back,Akhmat Grozny,Premier Liga,9,-,-,1,-,-,,,638'
Aleksandr Putsko,#55,Centre-Back,Akhmat Grozny,Premier Liga,6,-,-,-,-,-,,,330'
Mohamed Konaté,#13,Centre-Forward,Akhmat Grozny,Premier Liga,10,3,-,3,-,-,,,661'
Vitali Gudiev,#33,Goalkeeper,Akhmat Grozny,Premier Liga,6,-,,-,-,-,9,-,540'
Darko Todorovic,#4,Right-Back,Akhmat Grozny,Premier Liga,2,-,-,1,-,-,,,106'
Giorgi Shelia,#88,Goalkeeper,Akhmat Grozny,Premier Liga,4,-,,1,-,1,5,1,325'
Mehdi Zeffane,#18,Right-Back,KS Samara,Premier Liga,10,-,-,1,-,-,,,785'
Senin Sebai,#18,Centre-Forward,Akhmat Grozny,Premier Liga,10,-,2,2,-,-,,,631'
Vladislav Karapuzov,#77,Right Winger,Akhmat Grozny,Premier Liga,10,1,1,1,-,-,,,501'
Luka Gagnidze,#34,Central Midfield,Ural,Premier Liga,4,-,-,-,-,-,,,72'
Aleksey Gerasimov,#93,Centre-Back,Ural,Premier Liga,8,-,-,4,-,-,,,599'
Aleksey Evseev,#30,Central Midfield,Ural,FNL-2 Group 4,1,-,-,-,-,-,,,45'
Arsen Adamov,#95,Right-Back,Ural,Premier Liga,10,-,-,1,-,-,,,900'
