player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Nahuel Noll,#36,Goalkeeper,TSG Hoffenheim,U19-Bundesliga Süd/Südwest,5,-,,-,-,-,10,-,450'
Andrés Andrade,#30,Centre-Back,Arm. Bielefeld,Bundesliga,2,-,-,-,-,-,,,20'
Jurgen Ekkelenkamp,#10,Central Midfield,Hertha BSC,Bundesliga,3,1,-,-,-,-,,,121'
Jacob Barrett Laursen,#5,Left-Back,Arm. Bielefeld,Bundesliga,6,-,-,1,-,-,,,470'
Fabian Kunze,#16,Defensive Midfield,Arm. Bielefeld,Bundesliga,5,-,-,-,-,-,,,301'
Karim Onisiwo,#9,Centre-Forward,1.FSV Mainz 05,Bundesliga,5,-,2,-,-,-,,,275'
Alessandro Schöpf,#8,Attacking Midfield,Arm. Bielefeld,Bundesliga,6,-,-,-,1,-,,,490'
Anton Stach,#6,Defensive Midfield,1.FSV Mainz 05,Bundesliga,5,-,1,1,-,-,,,89'
Jae-sung Lee,#7,Attacking Midfield,1.FSV Mainz 05,Bundesliga,5,-,-,1,-,-,,,189'
Kevin Stöger,#22,Attacking Midfield,1.FSV Mainz 05,Bundesliga,5,1,-,-,-,-,,,55'
Anderson Lucoqui,#23,Left-Back,1.FSV Mainz 05,Bundesliga,5,1,-,1,-,-,,,448'
Stefan Bell,#16,Centre-Back,1.FSV Mainz 05,Bundesliga,7,-,-,1,-,-,,,607'
Marcus Ingvartsen,#11,Attacking Midfield,1.FSV Mainz 05,Bundesliga,6,2,-,-,-,-,,,261'
Finn Dahmen,#1,Goalkeeper,1.FSV Mainz 05,Bundesliga,-,-,,-,-,-,-,-,-
Niklas Tauer,#25,Defensive Midfield,1.FSV Mainz 05,Bundesliga,2,-,-,-,-,-,,,131'
Alexander Hack,#42,Centre-Back,1.FSV Mainz 05,Bundesliga,4,-,-,2,-,-,,,282'
Jorge Meré,#22,Centre-Back,1. FC Köln,Bundesliga,6,-,-,2,-,-,,,429'
Mark Uth,#13,Second Striker,1. FC Köln,Bundesliga,6,1,-,-,-,-,,,359'
Jannes Horn,#23,Left-Back,1. FC Köln,,,,,,,,,,
Noah Katterbach,#3,Left-Back,1. FC Köln,Regionalliga West,8,-,-,1,-,-,,,720'
Anthony Modeste,#27,Centre-Forward,1. FC Köln,Bundesliga,7,4,1,1,-,-,,,547'
Timo Hübers,#4,Centre-Back,1. FC Köln,Bundesliga,1,-,-,1,-,-,,,90'
Louis Schaub,#21,Attacking Midfield,1. FC Köln,Bundesliga,6,1,1,-,-,-,,,70'
Kingsley Ehizibue,#19,Right-Back,1. FC Köln,Bundesliga,5,-,1,1,-,-,,,174'
Sava-Arangel Cestic,#26,Centre-Back,1. FC Köln,Regionalliga West,8,-,-,1,-,-,,,618'
Benno Schmitz,#2,Right-Back,1. FC Köln,Bundesliga,6,-,3,1,-,-,,,476'
Fally Mayulu,,Centre-Forward,VfL Wolfsburg,,,,,,,,,,
Rafael Czichos,#5,Centre-Back,1. FC Köln,Bundesliga,7,-,-,2,-,-,,,571'
Torben Müsel,#26,Attacking Midfield,Bor. M'gladbach,Regionalliga West,8,5,-,-,-,-,,,511'
Paul Nebel,#26,Right Winger,1.FSV Mainz 05,Bundesliga,3,-,-,1,-,-,,,135'
Patrick Wimmer,#20,Left Winger,Arm. Bielefeld,Bundesliga,5,1,-,2,-,-,,,228'
Danny Blum,#7,Left Winger,VfL Bochum,Bundesliga,2,-,-,-,-,-,,,18'
Milos Pantovic,#27,Attacking Midfield,VfL Bochum,Bundesliga,5,-,-,-,-,-,,,278'
Manuel Riemann,#1,Goalkeeper,VfL Bochum,Bundesliga,7,-,,1,-,-,16,2,630'
